StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"NJ",34,10,781893,8.170299516685788e-2,5.623787398019934e-2,7.812322146380643e-2,6.234228980180152e-2,0.22833559067545048,0.11158176374516718,0.2358161538727166,0.1458601112940006
"NJ",34,11,729569,0.20631084928224747,0.19598146302817143,0.19605959134776835,0.22002579605218972,5.811376305736675e-2,2.836743337504746e-2,6.012042726596114e-2,3.502067659124771e-2
"NJ",34,12,758189,0.16130938328042216,0.13273867070084108,0.14873204438471146,0.15016044812045545,0.1344717478095831,6.634361616958305e-2,0.12689975718455423,7.934433234984944e-2
"NM",35,1,696688,0.21433841260363318,0.16474519440553018,0.2127552074960384,0.1918520198424546,7.719811450749833e-2,3.1599510828376545e-2,7.251596123372299e-2,3.499557908274579e-2
"NM",35,2,694692,0.2556456674324737,0.1658188089109994,0.24168120548386912,0.17411889009805784,5.904919014469722e-2,2.725668353745257e-2,4.790900139918122e-2,2.8520552993268958e-2
"NM",35,3,696690,0.1720090714665059,0.14749888759706611,0.17228035424650848,0.16042572736798288,0.11471242589961102,5.595314989450114e-2,0.11392872009071467,6.319166343710976e-2
"NY",36,1,718652,0.22980385499518544,0.20642258005265413,0.20596616999604817,0.23079459877659841,4.467391727846023e-2,1.797532046108548e-2,4.255467180220747e-2,2.1808886637760698e-2
"NY",36,2,721373,0.19931713551796365,0.16109141872512556,0.20332892969379227,0.1834460119799327,8.499347771541214e-2,3.7765483321388515e-2,8.844522875128401e-2,4.161231429510115e-2
"NY",36,3,725627,0.16575458189951586,0.18767906927388314,0.16124951249057712,0.21306125598964756,8.79666826069041e-2,4.676645163424183e-2,8.032914982491005e-2,5.719329628032033e-2
"NY",36,4,728807,0.16798823282432798,0.14758502593965206,0.15513572180289156,0.16857823813437578,0.11170309835114098,5.706037400848236e-2,0.11887372102627994,7.307558791284935e-2
"NY",36,5,798555,4.546837725641941e-2,3.911940943328888e-2,4.8630338549004136e-2,4.122947073150879e-2,0.24236151548734902,0.14688280707027068,0.25106724020261595,0.1852408412695431
"NY",36,6,761797,0.10920757104582979,0.10072893434865193,0.10497678515405022,0.11855783102322534,0.16573312837934515,0.1067699137696788,0.16575413134995282,0.12827170492926593
"NY",36,7,755717,0.18072109003767284,6.571110614158475e-2,0.1646634917568349,7.1561179647937e-2,0.16418050672407794,8.202806076877985e-2,0.16485800901660277,0.10627655590650997
"NY",36,8,793532,9.023958706139135e-2,5.615652550873815e-2,9.367612144185741e-2,6.783595368554765e-2,0.20958575079517902,0.1049018817136549,0.22428963167206867,0.15331454812156284
"NY",36,9,750170,0.11718543796739406,6.293906714478052e-2,0.12326272711518722,6.856445872268953e-2,0.17356332564618687,0.10472426250049989,0.19712731780796353,0.1526334030952984
